company_id,company_name,hq_location,primary_model,target_segment,cold_chain_requirement,disintermediation_risk,pricing_strategy,estimated_scale_tier,route_to_market_ops,distribution_channel_mix,supply_chain_visibility,switching_cost_moat,proximity_to_transaction,customer_retention_rate_annual,regulatory_barrier_level,gross_margin_tier,distributor_credit_terms,last_mile_ownership,retail_distribution_reach,exclusivity_enforcement,lifespan_years,survival_status,exit_outcome,total_funding_usd,funding_rounds_count,pivot_count,expansion_count,restructure_count,funding_per_year_usd,has_pivoted
mtn_momo,MTN MoMo,Kampala,Transactional,B2B2C,False,Low,Value-Based,3,Asset-Light,Traditional Trade,5,True,5,95.0,5,High,Cash on Delivery (COD),Aggregated 3PL,3,False,15.0,Active,Active,5000000,1,0.0,0.0,0.0,333333.11111125926,False
safeboda,SafeBoda,Kampala,Marketplace,B2C,False,High,Underpricing,3,Asset-Light,Traditional Trade,5,False,5,40.0,3,High,Cash on Delivery (COD),Aggregated 3PL,3,False,9.0,Active,Active,19350000,3,1.0,2.0,2.0,2149997.6111137657,True
jesa_dairy,Jesa Farm Dairy,Kampala,FMCG Manufacturing,B2B2C,True,Low,Value-Based,3,Asset-Heavy,Modern Trade + Traditional Trade,1,False,3,90.0,5,Low,Long-term Credit (30+ Days),Proprietary Fleet,3,False,25.0,Active,Active,2000000,1,0.0,0.0,0.0,79999.9680000128,False
lipa_later,Lipa Later,Nairobi,Transactional,B2B2C,False,Low,Value-Based,2,Asset-Light,Modern Trade,5,True,5,85.0,3,High,Cash on Delivery (COD),Merchant Pickup,2,False,7.0,Active,Active,18200000,3,0.0,1.0,0.0,2599996.285719592,False
rocket_health,Rocket Health,Kampala,Marketplace,B2C,True,Medium,Value-Based,2,Asset-Heavy,Direct-to-Consumer (D2C),5,True,5,65.0,5,High,Cash on Delivery (COD),Proprietary Fleet,2,False,11.0,Active,Active,5620000,3,0.0,1.0,0.0,510908.6264467033,False
jumia_ug,Jumia Uganda,Kampala,Marketplace,B2C,False,Medium,Underpricing,2,Asset-Light,Modern Trade + Traditional Trade,3,False,5,35.0,3,High,Cash on Delivery (COD),Aggregated 3PL,3,False,12.0,Active,Active,10000000,1,0.0,0.0,0.0,833332.6388894676,False
copia_global,Copia Global,Nairobi,E-commerce,B2C,False,Low,Underpricing,3,Asset-Heavy,Traditional Trade,3,False,4,25.0,3,Medium,Cash on Delivery (COD),Proprietary Fleet,3,False,11.0,Failed,Shut Down,107000000,4,0.0,1.0,1.0,9727263.884305561,False
mukwano,Mukwano Industries,Kampala,FMCG Manufacturing,B2B2C,False,Low,Cost-Plus,3,Asset-Heavy,B2B Wholesaler Push + Traditional Trade,1,False,3,95.0,5,Low,Long-term Credit (30+ Days),Proprietary Fleet,3,False,40.0,Active,Active,5000000,1,0.0,0.0,0.0,124999.9687500078,False
kuzimba,Kuzimba Services,Kampala,Marketplace,B2B,False,High,Cost-Plus,1,Asset-Light,Traditional Trade,2,False,3,30.0,1,High,Cash on Delivery (COD),Aggregated 3PL,1,False,4.0,Active,Active,50000,1,0.0,0.0,0.0,12499.968750078126,False
airtel_money,Airtel Money,Nairobi,Transactional,B2B2C,False,Low,Value-Based,3,Asset-Light,Traditional Trade,5,True,5,95.0,5,High,Cash on Delivery (COD),Aggregated 3PL,3,False,15.0,Active,Active,5000000,1,0.0,0.0,0.0,333333.11111125926,False
tugende,Tugende,Kampala,Transactional,B2C,False,Low,Value-Based,2,Asset-Heavy,Traditional Trade,3,True,5,80.0,3,Medium,Long-term Credit (30+ Days),Proprietary Fleet,2,True,12.0,Pivoted,Active,34600000,3,1.0,1.0,1.0,2883330.930557558,True
m_kopa,M-KOPA,Nairobi,Transactional,B2C,False,Low,Value-Based,3,Asset-Heavy,Traditional Trade,5,True,5,85.0,3,Medium,Long-term Credit (30+ Days),Proprietary Fleet,3,True,15.0,Active,Active,347000000,4,1.0,2.0,0.0,23133317.911121394,True
twiga_foods,Twiga Foods,Nairobi,E-commerce,B2B,True,Low,Value-Based,3,Asset-Heavy,Traditional Trade,4,False,4,75.0,3,Medium,Short-term Credit (1-7 Days),Proprietary Fleet,3,False,12.0,Active,Active,92000000,4,0.0,1.0,1.0,7666660.277783102,False
wasoko,Wasoko,Nairobi,E-commerce,B2B,False,Low,Underpricing,3,Asset-Heavy,Traditional Trade,4,True,4,80.0,1,Medium,Short-term Credit (1-7 Days),Proprietary Fleet,3,False,10.0,Active,Active,145000000,3,0.0,1.0,1.0,14499985.5000145,False
basigo,BasiGo,Nairobi,Transactional,B2B,False,Low,Value-Based,2,Asset-Heavy,Traditional Trade,5,True,5,95.0,3,Medium,Long-term Credit (30+ Days),Proprietary Fleet,2,True,5.0,Active,Active,17500000,3,0.0,1.0,0.0,3499993.000014,False
sendy,Sendy,Nairobi,Marketplace,B2B,False,High,Underpricing,3,Asset-Light,Traditional Trade,3,False,4,30.0,1,Medium,Cash on Delivery (COD),Aggregated 3PL,3,False,9.0,Failed,Shut Down,27000000,3,1.0,0.0,1.0,2999996.6666703704,True
kopo_kopo,Kopo Kopo,Nairobi,Transactional,B2B,False,Low,Value-Based,3,Asset-Light,Traditional Trade,5,True,5,90.0,3,High,Short-term Credit (1-7 Days),Aggregated 3PL,3,False,15.0,Active,Active,10200000,4,1.0,0.0,0.0,679999.546666969,True
